V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
243,EIF5A,0.7820256,5.25016750333117e-49,5.27001888294575e-47,46.278187828669,black,NS,
244,WASL,0.66261417,6.98190248836487e-49,6.99091139480147e-47,46.1554662022327,black,NS,
245,PCYT1A,0.7481671,7.92435571285698e-49,7.9149406367625e-47,46.1015523380629,black,NS,
246,ARID2,0.427235,1.18617299254651e-48,1.18183833568486e-46,45.9274419267727,black,NS,
247,SLAMF1,0.852143,1.38778742662245e-48,1.37254897644777e-46,45.8624721497402,black,NS,
248,TMEM131L,0.43046236,2.36134961417259e-48,2.32971099342524e-46,45.6326979509678,black,NS,
249,SULF2,0.8333684,6.28351527262301e-48,6.15418466701174e-46,45.210829476132,black,NS,
250,NBEAL2,0.99156475,1.15099901209666e-47,1.12457898634684e-45,44.9490100358887,black,NS,
251,MTSS1,0.8183799,1.49874357057605e-47,1.45378126345877e-45,44.8375009326923,black,NS,
252,CLIC1,1.2997929,1.60548337699726e-47,1.5535842980478e-45,44.8086651767935,red,Up,
253,TMSB10,0.42640597,2.84596008136511e-47,2.74081578050704e-45,44.5621201538797,black,NS,
254,HDLBP,0.5611892,2.8912485202852e-47,2.77780143548925e-45,44.5562988019942,black,NS,
255,UBR4,0.40883082,4.36033676029139e-47,4.17929474943653e-45,44.3788969986722,black,NS,
256,BATF3,1.5402043,6.09378605230861e-47,5.82693020812221e-45,44.2345601836275,red,Up,
257,TMEM39A,0.85239846,7.89545958188716e-47,7.53185780256054e-45,44.1230978878251,black,NS,
258,CRIM1,1.9224402,1.26839451818292e-46,1.20712866975748e-44,43.9182464352984,red,Up,
259,ZNF326,0.8457515,1.30152720692903e-46,1.23574649068236e-44,43.9080706141906,black,NS,
260,ATP6V1B2,0.9215125,1.82503896173207e-46,1.72468318931645e-44,43.7632906697315,black,NS,
261,TFRC,0.86161536,4.42250563651261e-46,4.15983560476822e-44,43.3809238321984,black,NS,
262,SF1,0.5222076,4.50281764810046e-46,4.22552785432907e-44,43.3741190311159,black,NS,
263,ETS1,0.6113727,7.70133460561378e-46,7.19361699087332e-44,43.1430526890055,black,NS,
264,SMAP2,0.56270444,1.43647820265592e-45,1.33559374270902e-43,42.8743256242937,black,NS,
265,SIAH1,0.67633146,1.49077631576101e-45,1.38289208950778e-43,42.8592117076418,black,NS,
266,QSOX1,1.5161126,1.97972582744283e-45,1.82805255352341e-43,42.7380113231661,red,Up,
267,ENSG00000272657,1.7558992,2.01572427917479e-45,1.8570435185676e-43,42.7311779187415,red,Up,
